Baseline Data Length
395
Rows Removed	RMSSD	RMSE	Mean	SampEn
0	20.69486297827482	32.76339736914432	759.7715736040609	1.593793790734533
Original Data Length
395
Rows Removed	RMSSD	RMSE	Mean	SampEn
3.200000000000000000e+01	2.274177578050893445e+01	3.667578189106115616e+01	7.601298342541454076e+02	1.438711002518495263e+00
3.300000000000000000e+01	2.301346224375300764e+01	3.720779417901090369e+01	7.600332409972302230e+02	1.488270778793477467e+00
2.500000000000000000e+01	2.276862591566033700e+01	3.670674675259220976e+01	7.606883468834676023e+02	1.482357647524391364e+00
1.700000000000000000e+01	2.274400786179007383e+01	3.714167944076498884e+01	7.599522546419098035e+02	1.464289146717858925e+00
2.400000000000000000e+01	2.303837966676009330e+01	3.684444865430925375e+01	7.609891891891886644e+02	1.464903963829144118e+00
1.600000000000000000e+01	2.235706144122638506e+01	3.717912088845594809e+01	7.604973544973536264e+02	1.456164041080376448e+00
1.300000000000000000e+01	2.199312093407965918e+01	3.646028186692228701e+01	7.601522309711267553e+02	1.484477280618898831e+00
2.700000000000000000e+01	2.311476475603518566e+01	3.724085750459342847e+01	7.596076294277942225e+02	1.465491402781084362e+00
1.000000000000000000e+00	2.189836216036162853e+01	3.673695156451192645e+01	7.601577608142499685e+02	1.442094529729943675e+00
1.300000000000000000e+01	2.245363644209774634e+01	3.681425496131183195e+01	7.601679790026258843e+02	1.470988239969159395e+00
1.200000000000000000e+01	2.260217395997185719e+01	3.681944943345765608e+01	7.604136125654447369e+02	1.447354617881139172e+00
1.700000000000000000e+01	2.236858787238041657e+01	3.708211010025942045e+01	7.605013262599477457e+02	1.468549681583866340e+00
3.300000000000000000e+01	2.325612225247988007e+01	3.739157949225864286e+01	7.606204986149599563e+02	1.471133241056920671e+00
2.200000000000000000e+01	2.282778606680017219e+01	3.576761916377812156e+01	7.590000000000011369e+02	1.470534976007667582e+00
1.600000000000000000e+01	2.249391311713700148e+01	3.717876708531759533e+01	7.599656084656096482e+02	1.443694592043667901e+00
2.400000000000000000e+01	2.323480941526532462e+01	3.639368187406353883e+01	7.599270270270270657e+02	1.501645784635901704e+00
9.000000000000000000e+00	2.251428944397245147e+01	3.678312181234149136e+01	7.605012987012984240e+02	1.456103892513397557e+00
2.700000000000000000e+01	2.340665684585230011e+01	3.716471146896300581e+01	7.598365122615759901e+02	1.452942142689330085e+00
6.000000000000000000e+00	2.215478786454671933e+01	3.684425783948380229e+01	7.600257731958765817e+02	1.469506052711188282e+00
2.300000000000000000e+01	2.308813899304485417e+01	3.672219905215855817e+01	7.596630727762797051e+02	1.469459144385931948e+00
1.000000000000000000e+00	2.189137142477315123e+01	3.679852015152418687e+01	7.602391857506364659e+02	1.447190022374222451e+00
2.000000000000000000e+01	2.271675457318070102e+01	3.618398094452761171e+01	7.608128342245979638e+02	1.483963032583508923e+00
2.600000000000000000e+01	2.368601376248723867e+01	3.706772182904050794e+01	7.607092391304347530e+02	1.530036025032413871e+00
1.700000000000000000e+01	2.322754005531687937e+01	3.674023622337790584e+01	7.607559681697607630e+02	1.477779530284097254e+00
1.500000000000000000e+01	2.236499769043559738e+01	3.668654869341653324e+01	7.598390501319250916e+02	1.490275973771878260e+00
3.700000000000000000e+01	2.371891815939291348e+01	3.699245588499491078e+01	7.593053221288492978e+02	1.536194950666385672e+00
2.300000000000000000e+01	2.289641775357297249e+01	3.684849202269160884e+01	7.598840970350420321e+02	1.484014027854942519e+00
2.900000000000000000e+01	2.335952872850397455e+01	3.697174690803088026e+01	7.605917808219171548e+02	1.487431685933409353e+00
1.100000000000000000e+01	2.255992601451088930e+01	3.660436319248115211e+01	7.601462140992160812e+02	1.426357774151087110e+00
2.100000000000000000e+01	2.268632528284848249e+01	3.684299964214289247e+01	7.603163538874007372e+02	1.512682243969795559e+00
2.400000000000000000e+01	2.317922394655316509e+01	3.648724974176765556e+01	7.603918918918900545e+02	1.479443416298728442e+00
3.100000000000000000e+01	2.289605384707510893e+01	3.614390747236242873e+01	7.607465564738295143e+02	1.437487916491121398e+00
1.200000000000000000e+01	2.237716543284019721e+01	3.659980963167836165e+01	7.598272251308922023e+02	1.447935169421391111e+00
3.100000000000000000e+01	2.359154029479532255e+01	3.608281940674402932e+01	7.593057851239667571e+02	1.565126866109193937e+00
9.000000000000000000e+00	2.222991837217418620e+01	3.648340018123148809e+01	7.599090909090904233e+02	1.475623594358546731e+00
9.000000000000000000e+00	2.229472331069046120e+01	3.677618814997511976e+01	7.606285714285711492e+02	1.461017907315826259e+00
4.000000000000000000e+00	2.198872110972681071e+01	3.674331418652410264e+01	7.603589743589735690e+02	1.470367854756526205e+00
2.400000000000000000e+01	2.297854543124736892e+01	3.712067315467952255e+01	7.605540540540545180e+02	1.490679470861882017e+00
2.000000000000000000e+01	2.278686654333169415e+01	3.686976646446906614e+01	7.600000000000018190e+02	1.446185253356119027e+00
3.200000000000000000e+01	2.292266898645581819e+01	3.675098306528747116e+01	7.600580110497267015e+02	1.478455758474771509e+00
2.700000000000000000e+01	2.327825270892461873e+01	3.687983127703196828e+01	7.601498637602221606e+02	1.477531215536579845e+00
1.500000000000000000e+01	2.291674603161645862e+01	3.669055952412176680e+01	7.599419525065969765e+02	1.423594722533097823e+00
2.300000000000000000e+01	2.260991172270027860e+01	3.672708943715078078e+01	7.603665768194076691e+02	1.522322633943000492e+00
3.100000000000000000e+01	2.310401653632220942e+01	3.694930443882837778e+01	7.597603305785120256e+02	1.443868976558768447e+00
1.500000000000000000e+01	2.247226391583520666e+01	3.716750812706697360e+01	7.602321899736145951e+02	1.499953679592410216e+00
2.600000000000000000e+01	2.387940866182422184e+01	3.689116663652146855e+01	7.607173913043459379e+02	1.503143253784476441e+00
2.400000000000000000e+01	2.287393280938066198e+01	3.622053221559610137e+01	7.607297297297303658e+02	1.510844571170857797e+00
3.300000000000000000e+01	2.368655267821504751e+01	3.728336874874587892e+01	7.600166204986174989e+02	1.446586591376011866e+00
3.200000000000000000e+01	2.407093625722638564e+01	3.637853946286695361e+01	7.607486187845305494e+02	1.492841323509348728e+00
6.000000000000000000e+00	2.201989938652083012e+01	3.698571103417680916e+01	7.602164948453606712e+02	1.475555457843538143e+00
2.500000000000000000e+01	2.309720715283645731e+01	3.688019913465253552e+01	7.602384823848252609e+02	1.458296399150543321e+00
6.000000000000000000e+00	2.233530015637042254e+01	3.684461444735367053e+01	7.602783505154640125e+02	1.463546109683407037e+00
2.400000000000000000e+01	2.272285002545741861e+01	3.721117995718050508e+01	7.602567567567551805e+02	1.494039671342763498e+00
7.000000000000000000e+00	2.233013020620729705e+01	3.678864938094305614e+01	7.606356589147275145e+02	1.436763786809042154e+00
3.700000000000000000e+01	2.419205691911505340e+01	3.670977173690432949e+01	7.598795518207276700e+02	1.464379482523912257e+00
3.200000000000000000e+01	2.337085098793956206e+01	3.617843926933525012e+01	7.611353591160225278e+02	1.526839388891370053e+00
1.900000000000000000e+01	2.259543042156821713e+01	3.682013941671937118e+01	7.600000000000000000e+02	1.466541087971941382e+00
2.100000000000000000e+01	2.248386518258221756e+01	3.702115426800627063e+01	7.606058981233240956e+02	1.507176252680342943e+00
2.300000000000000000e+01	2.378683487800889651e+01	3.703492272724474788e+01	7.600458221024287013e+02	1.490754194276672884e+00
1.300000000000000000e+01	2.230252522875299093e+01	3.679915697585681045e+01	7.601049868766407371e+02	1.447796560877685046e+00
2.200000000000000000e+01	2.270334883927390024e+01	3.679135719610042798e+01	7.594704301075266812e+02	1.514574560161787709e+00
3.000000000000000000e+01	2.476211894074510056e+01	3.689441833250501901e+01	7.595494505494508530e+02	1.466544387131479832e+00
1.800000000000000000e+01	2.219927926758342807e+01	3.677721581958808628e+01	7.594255319148933268e+02	1.451387931234956907e+00
2.900000000000000000e+01	2.365775899022542816e+01	3.681447515291380768e+01	7.610356164383548503e+02	1.501224327793866387e+00
1.800000000000000000e+01	2.266598038177444963e+01	3.710692577423196781e+01	7.607101063829782106e+02	1.486441309724826132e+00
3.200000000000000000e+01	2.320031999016064006e+01	3.689088384861961600e+01	7.605939226519319618e+02	1.473132592926851947e+00
1.000000000000000000e+00	2.188589378890013037e+01	3.676614219242968318e+01	7.601857506361326386e+02	1.427384775988019383e+00
2.200000000000000000e+01	2.271331941188591586e+01	3.605688921731987762e+01	7.602795698924727503e+02	1.460124001407455907e+00
3.200000000000000000e+01	2.335591177750376701e+01	3.644690412091782861e+01	7.599337016574572772e+02	1.497330383229679374e+00
2.300000000000000000e+01	2.287197033548089564e+01	3.663132554962523812e+01	7.603450134770919249e+02	1.478728280578272880e+00
2.700000000000000000e+01	2.270955842186437579e+01	3.715483656915100141e+01	7.599073569482317225e+02	1.454915761577310285e+00
1.500000000000000000e+01	2.259354451980578204e+01	3.703058550697053875e+01	7.601767810026385632e+02	1.443029673620757514e+00
9.000000000000000000e+00	2.230511665889505935e+01	3.681991145528447618e+01	7.598727272727277295e+02	1.443322354353197667e+00
7.000000000000000000e+00	2.218907213652723698e+01	3.694890274840891919e+01	7.599715762273893915e+02	1.465213473169599601e+00
3.000000000000000000e+00	2.223931607508299280e+01	3.656774434854533240e+01	7.600460358056268433e+02	1.444217008852597406e+00
2.800000000000000000e+01	2.358017509549742030e+01	3.666014128411850947e+01	7.600819672131149218e+02	1.488524983768789500e+00
6.000000000000000000e+00	2.196832344860138164e+01	3.690867178781476809e+01	7.600876288659787861e+02	1.455449031814382232e+00
3.100000000000000000e+01	2.302730783390002500e+01	3.685132894305647255e+01	7.601239669421486269e+02	1.456784238874440307e+00
3.000000000000000000e+00	2.192264956848903523e+01	3.689510786682073729e+01	7.602352941176480954e+02	1.474110567126809102e+00
1.500000000000000000e+01	2.236393307639846384e+01	3.705661135416868035e+01	7.607757255936683123e+02	1.439295057825665136e+00
3.400000000000000000e+01	2.343728667497832774e+01	3.710714216966663770e+01	7.605666666666668334e+02	1.502753769845765364e+00
2.300000000000000000e+01	2.259939008983798203e+01	3.703028175189707127e+01	7.610592991913741798e+02	1.469964642299863344e+00
1.300000000000000000e+01	2.256680141969721021e+01	3.691973663564006358e+01	7.596115485564299661e+02	1.455962110310877744e+00
3.500000000000000000e+01	2.321450856299543020e+01	3.718320370645075457e+01	7.603983286908087393e+02	1.443413428891491268e+00
1.700000000000000000e+01	2.232157385971905583e+01	3.676006425382269782e+01	7.609920424403177321e+02	1.469337371074105336e+00
3.900000000000000000e+01	2.352177738394444617e+01	3.704596093480719787e+01	7.598957746478859008e+02	1.537275466185868966e+00
3.700000000000000000e+01	2.299566397819114272e+01	3.659244638261638016e+01	7.608655462184871112e+02	1.479955282716404197e+00
4.000000000000000000e+00	2.213890479221469221e+01	3.693701704441532030e+01	7.602435897435906327e+02	1.478703724430639355e+00
1.700000000000000000e+01	2.246717463702199069e+01	3.684031892881087344e+01	7.599787798408488015e+02	1.510662275403755750e+00
1.100000000000000000e+01	2.221780569841597952e+01	3.621748089048605834e+01	7.600652741514361423e+02	1.454066976201614292e+00
2.000000000000000000e+01	2.284679126954041095e+01	3.640883868732022677e+01	7.608930481283425706e+02	1.498276739387973677e+00
1.700000000000000000e+01	2.292628102642503762e+01	3.687325062712066881e+01	7.607374005305033506e+02	1.484344758281911814e+00
2.000000000000000000e+01	2.266796111533075120e+01	3.690915172997616622e+01	7.601390374331537032e+02	1.434962730027007360e+00
9.000000000000000000e+00	2.234477707430057691e+01	3.689079177510323859e+01	7.600987012987029630e+02	1.490747729692894596e+00
2.500000000000000000e+01	2.283619600166202801e+01	3.707427988483490822e+01	7.594498644986459794e+02	1.485331812124481177e+00
1.200000000000000000e+01	2.261819349916797250e+01	3.568437827205514878e+01	7.608481675392664556e+02	1.446780565052515399e+00
1.600000000000000000e+01	2.291067882548093237e+01	3.703321720664886385e+01	7.598597883597891496e+02	1.442655837927657059e+00
3.700000000000000000e+01	2.329241328961235880e+01	3.666106207152700591e+01	7.603781512605052058e+02	1.475906519809580875e+00
2.000000000000000000e+00	2.198447487546819445e+01	3.684992520634867930e+01	7.602602040816323097e+02	1.453953009593705215e+00
2.600000000000000000e+01	2.306093102001228345e+01	3.707434702047064690e+01	7.606413043478285090e+02	1.561690149560885033e+00
2.700000000000000000e+01	2.320960560522394900e+01	3.733041129814693448e+01	7.597629427792912793e+02	1.535743172913270671e+00
2.500000000000000000e+01	2.257589855691809788e+01	3.654827528675395598e+01	7.608482384823846587e+02	1.443525489011864504e+00
1.600000000000000000e+01	2.229766078297920018e+01	3.689697221083400080e+01	7.599126984126980915e+02	1.436484105643746290e+00
7.000000000000000000e+00	2.232432860510205330e+01	3.671634502399345479e+01	7.602971576227387231e+02	1.462631988600880950e+00
2.000000000000000000e+01	2.238758033713080664e+01	3.716558727302125931e+01	7.601711229946519097e+02	1.502223828126951322e+00
5.000000000000000000e+00	2.196617596665824834e+01	3.694039728275819812e+01	7.602699228791782389e+02	1.459890780700431545e+00
3.700000000000000000e+01	2.272904640678857291e+01	3.574414833240294342e+01	7.609243697478975719e+02	1.465679390374458491e+00
2.400000000000000000e+01	2.350234953371038316e+01	3.689620843968062047e+01	7.605297297297314572e+02	1.467921855178999646e+00
